Malaria	6042	20110102
Malaria	8193	20110123
Malaria	10312	20110124
Malaria	6933	20110130
Malaria	7269	20110131
Malaria	8238	20110117
Malaria	9022	20110119
Malaria	23844	20110121
Malaria	10397	20110122
Malaria	14230	20110120
Malaria	6577	20110116
Malaria	8486	20110118
Malaria	4411	20110101
Malaria	7150	20110103
Malaria	7802	20110104
Malaria	7796	20110105
Malaria	7904	20110110
Malaria	8280	20110112
Malaria	8082	20110113
Malaria	7470	20110114
Malaria	5973	20110115
Malaria	6514	20110108
Malaria	6635	20110109
Malaria	8349	20110126
Malaria	4435	20110129
Malaria	7935	20110111
Malaria	7763	20110106
Malaria	7705	20110127
Malaria	6405	20110128
Malaria	8386	20110125
Malaria	7099	20110107
