Diarrhea	3256	20110129
Diarrhea	5093	20110114
Diarrhea	4254	20110115
Diarrhea	3861	20110101
Diarrhea	4760	20110102
Diarrhea	5451	20110103
Diarrhea	5216	20110125
Diarrhea	5332	20110104
Diarrhea	5519	20110105
Diarrhea	4905	20110116
Diarrhea	4548	20110131
Diarrhea	6924	20110118
Diarrhea	4401	20110122
Diarrhea	5188	20110123
Diarrhea	6147	20110117
Diarrhea	5238	20110112
Diarrhea	5759	20110111
Diarrhea	5306	20110113
Diarrhea	4933	20110126
Diarrhea	5745	20110119
Diarrhea	5511	20110120
Diarrhea	4802	20110109
Diarrhea	4908	20110127
Diarrhea	5176	20110121
Diarrhea	3968	20110130
Diarrhea	5796	20110110
Diarrhea	5054	20110107
Diarrhea	3889	20110128
Diarrhea	6066	20110124
Diarrhea	5692	20110106
Diarrhea	4424	20110108
