Measles	3520	20110103
Measles	3908	20110105
Measles	3417	20110122
Measles	3585	20110116
Measles	4441	20110117
Measles	3985	20110131
Measles	4021	20110121
Measles	3643	20110123
Measles	4335	20110118
Measles	4595	20110119
Measles	2209	20110101
Measles	2930	20110102
Measles	4454	20110111
Measles	2960	20110115
Measles	4188	20110113
Measles	3549	20110114
Measles	4198	20110120
Measles	4479	20110110
Measles	4724	20110126
Measles	4103	20110127
Measles	4848	20110107
Measles	3422	20110108
Measles	2973	20110130
Measles	4230	20110112
Measles	3599	20110109
Measles	3467	20110128
Measles	3651	20110104
Measles	2730	20110129
Measles	4632	20110124
Measles	4251	20110125
Measles	6158	20110106
